actorId,actorName,movieCount,NormalizedMovieRank,PeakSearchHits(GoogleHits/Month),NormalizedRating
633,Vatsal Seth,5,1.391299963,0,1.223019958
634,Suman Ranganathan,5,1.391299963,0,1.223019958
635,Javed Jaffrey,5,1.391299963,0,1.223019958
636,Mukesh Bhatt,5,1.391299963,0,1.223019958
637,Arjan Bajwa,4,1.244570017,0,1.139379978
638,Kabir Bedi,4,1.244570017,0,1.139379978
639,Mukul Dev,4,1.244570017,0,1.139379978
640,Shawar Ali,4,1.244570017,0,1.139379978
641,Ayesha Jhulka,4,1.244570017,0,1.139379978
642,Rajesh Khanna,4,1.244570017,0,1.139379978
643,Birbal,4,1.244570017,0,1.139379978
644,Sayali Bhagat,4,1.244570017,0,1.139379978
645,Kiran Kumar,5,1.195649981,0,1.111510038
646,Chunky Pandey,5,1.195649981,0,1.111510038
647,Mandira Bedi,5,1.195649981,0,1.111510038
648,Makrand Deshpande,5,1.195649981,0,1.111510038
649,Aditya Srivastava,5,1.195649981,0,1.111510038
650,Nauheed Cyrusi,5,1,0,1
651,Abhay Bhargav,4,1,0,1
652,Prashant Narayanan,4,1,0,1
653,Puru Rajkumar,4,1,0,1
654,Rohini Hattangadi,4,1,0,1
655,Mukesh Ahuja,4,1,0,1
656,Nagesh Bhonsle,5,1,0,1
657,Shweta Bhardwaj,5,1,0,1
658,Vikas Anand,4,1,0,1
659,Akhilendra Mishra,4,1,0,1
660,Rituparna Sengupta,4,1,0,1
661,Hazel Croney,5,1,0,1
662,Harman Baweja,4,1,0,1
663,Sudha Chandran,4,1,0,1
664,Shabana Azmi,4,1,0,1
665,Benjamin Gilani,4,1,0,1
666,Dev Anand,4,1,0,1
667,Tanvi Azmi,4,1,0,1
668,Adi Irani,4,1,0,1
669,Achint Kaur,4,1,0,1
670,Yuvika Chaudhry,5,1,0,1
671,Pankaj Berry,5,1,0,1
672,Varun Dhawan,0,NULL,0,4.739999771
673,Nargis Fakhri,0,NULL,0,4.800000191
